"Name","Version","License","URL"
"Deprecated","1.2.15","MIT License","https://github.com/laurent-laporte-pro/deprecated"
"Pygments","2.18.0","BSD License","https://pygments.org"
"anyio","4.8.0","MIT License","https://anyio.readthedocs.io/en/stable/versionhistory.html"
"blosc2","3.0.0","BSD License","https://github.com/Blosc/python-blosc2"
"certifi","2025.1.31","Mozilla Public License 2.0 (MPL 2.0)","https://github.com/certifi/python-certifi"
"click","8.1.7","BSD License","https://palletsprojects.com/p/click/"
"colorama","0.4.6","BSD License","https://github.com/tartley/colorama"
"contourpy","1.3.1","BSD License","https://github.com/contourpy/contourpy"
"cycler","0.12.1","BSD License","https://matplotlib.org/cycler/"
"fonttools","4.55.8","MIT License","http://github.com/fonttools/fonttools"
"h11","0.14.0","MIT License","https://github.com/python-hyper/h11"
"httpcore","1.0.7","BSD License","https://www.encode.io/httpcore/"
"httpx","0.28.1","BSD License","https://github.com/encode/httpx"
"idna","3.10","BSD License","https://github.com/kjd/idna"
"kiwisolver","1.4.8","BSD License","https://github.com/nucleic/kiwi"
"mafw","0.0.5","European Union Public Licence 1.2 (EUPL 1.2)","https://gitlab.jrc.ec.europa.eu/jrc-projects/autorad/mafw"
"markdown-it-py","3.0.0","MIT License","https://github.com/executablebooks/markdown-it-py"
"matplotlib","3.10.0","Python Software Foundation License","https://matplotlib.org"
"mdurl","0.1.2","MIT License","https://github.com/executablebooks/mdurl"
"msgpack","1.1.0","Apache Software License","https://msgpack.org/"
"ndindex","1.9.2","MIT License","https://quansight-labs.github.io/ndindex/"
"numexpr","2.10.2","MIT License","https://github.com/pydata/numexpr"
"numpy","2.2.2","BSD License","https://numpy.org"
"packaging","24.2","Apache Software License; BSD License","https://github.com/pypa/packaging"
"pandas","2.2.3","BSD License","https://pandas.pydata.org"
"peewee","3.17.8","MIT License","https://github.com/coleifer/peewee/"
"pillow","11.1.0","CMU License (MIT-CMU)","https://python-pillow.github.io"
"pluggy","1.5.0","MIT License","https://github.com/pytest-dev/pluggy"
"py-cpuinfo","9.0.0","MIT License","https://github.com/workhorsy/py-cpuinfo"
"pyparsing","3.2.1","MIT License","https://github.com/pyparsing/pyparsing/"
"python-dateutil","2.9.0.post0","Apache Software License; BSD License","https://github.com/dateutil/dateutil"
"pytz","2025.1","MIT License","http://pythonhosted.org/pytz"
"rich","13.9.4","MIT License","https://github.com/Textualize/rich"
"seaborn","0.13.2","BSD License","https://github.com/mwaskom/seaborn"
"six","1.17.0","MIT License","https://github.com/benjaminp/six"
"sniffio","1.3.1","Apache Software License; MIT License","https://github.com/python-trio/sniffio"
"tables","3.10.2","BSD License","http://www.pytables.org"
"tomlkit","0.13.2","MIT License","https://github.com/sdispater/tomlkit"
"typing_extensions","4.12.2","Python Software Foundation License","https://github.com/python/typing_extensions"
"tzdata","2025.1","Apache Software License","https://github.com/python/tzdata"
"wrapt","1.17.0","BSD License","https://github.com/GrahamDumpleton/wrapt"
