X1,X2,X3
2.334,2.322,2.423
2.358,2.36,2.357
2.376,2.376,2.381
2.352,2.337,2.361
2.352,2.341,2.352
2.336,2.338,2.333
2.369,2.363,2.362
2.338,2.34,2.352
2.356,2.365,2.365
2.23,2.245,2.189
2.34,2.333,2.341
2.359,2.358,2.354
2.376,2.376,2.384
2.387,2.403,2.404
2.389,2.376,2.362
2.403,2.397,2.398
2.397,2.396,2.395
2.376,2.362,2.366
2.387,2.393,2.381
2.383,2.38,2.382
2.404,2.397,2.405
2.396,2.395,2.392
2.387,2.387,2.395
2.387,2.393,2.395
2.4,2.406,2.404
2.393,2.396,2.4
2.4,2.404,2.393
2.393,2.401,2.396
2.381,2.384,2.367
2.385,2.391,2.394
2.397,2.394,2.396
2.403,2.405,2.407
2.4,2.389,2.389
2.398,2.396,2.39
2.399,2.398,2.394
2.396,2.402,2.397
2.408,2.406,2.409
2.409,2.408,2.407
2.386,2.385,2.391
2.402,2.402,2.403
2.4,2.407,2.407
2.396,2.4,2.4
2.394,2.386,2.393
2.397,2.402,2.394
2.403,2.403,2.395
2.4,2.4,2.4
2.397,2.394,2.394
2.409,2.408,2.409
2.405,2.4,2.403
2.401,2.4,2.402
