WKT,SITE_ID,SENSOR_1,SENSOR_2,DEPLOYMENT,DESCRIPTION,LAMP_ID
"POINT (11.5546203 48.1545666)",LOTC,13126.0,13172.0,1683025200000000,Co-Location LfU Lothstrasse,
"POINT (11.5285361 48.1727324)",HANV,13171.0,13147.0,1683023400000000,,1.0
"POINT (11.5376299 48.1596556)",DONV,13092.0,13096.0,1683027000000000,,505.0
"POINT (11.536546 48.14957)",LANC,13101.0,13114.0,1683032400000000,Co-Location LfU Landshuter Allee,23.0
"POINT (11.519285 48.143002)",FRIV,13118.0,13143.0,1683034200000000,,10.0
"POINT (11.5255323 48.1284595)",TUEV,13130.0,13106.0,1683035400000000,B2R Abfahrt Tübinger Str.,25.0
"POINT (11.5648237 48.1372488)",SONC,13169.0,13080.0,1683037800000000,LfU Co-Location Station Stachus,25.0
"POINT (11.5594562 48.1301201)",LINV,13103.0,13170.0,1683106200000000,,38.0
"POINT (11.5783594 48.1288644)",ERHV,13095.0,13141.0,1683108000000000,,2.0
"POINT (11.626897 48.1386708)",TOEV,13168.0,13164.0,1683114600000000,,1.0
"POINT (11.6002397 48.125051)",ROSV,13153.0,13115.0,1683109800000000,,65.0
"POINT (11.5891544 48.1430346)",PRIV,13129.0,13082.0,1683116400000000,,21.0
"POINT (11.5860387 48.1615591)",FREV,13100.0,13174.0,1683125400000000,,55.0
"POINT (11.5916425 48.1762143)",SCHV,13110.0,13157.0,1683127200000000,,1.0
"POINT (11.5622708 48.1870436)",MOSV,13155.0,13158.0,1683129600000000,,32.0
"POINT (11.5641565 48.176205)",PETV,13173.0,13151.0,1683130800000000,,4.0
"POINT (11.6480135 48.1732414)",NUSC,13097.0,13135.0,1683187200000000,Co-Location LfU Johanniskirchen,17.0
"POINT (11.6338458 48.1755672)",COSP,13133.0,13081.0,1683189600000000,Nahe HKW Nord,189.0
"POINT (11.6292377 48.1840362)",LEINP,13159.0,13132.0,1683190800000000,Nahe HKW Nord,39.0
"POINT (11.5989667 48.2088639)",SMIA,13091.0,13145.0,1683193200000000,,5.0
"POINT (11.4644802 48.1817095)",ALLC,13150.0,13077.0,1683195600000000,Co-Location LfU Allach,177.0
"POINT (11.5690687 48.1507506)",TUMC,0.0,,,Co-Location @ TUM - Many sensors were mounted here and then deployed step-by-step,
"POINT (11.5651896 48.116531)",TETK,13098.0,13161.0,1684224900000000,Nahe HKW Süd,8.0
"POINT (11.556869 48.1126144)",FLAV,13148.0,13134.0,1684225800000000,nahe HKW Süd und B2R,35.0
"POINT (11.5498423 48.1070756)",SAEV,13111.0,13125.0,1684226700000000,,82.0
"POINT (11.5385585 48.0907559)",WOLV,13087.0,13089.0,1684227900000000,,
"POINT (11.5031608 48.0771877)",LITA,13099.0,13166.0,1684229100000000,guter Standort,9.0
"POINT (11.4673588 48.1178752)",LHGA,13160.0,13121.0,1684231200000000,,72.0
"POINT (11.4285357 48.1326067)",ASAA,13107.0,13084.0,1684232400000000,,
"POINT (11.456421 48.1531267)",PIPV,13108.0,13154.0,1684237500000000,,2.0
"POINT (11.5601619 48.2200291)",ASHA,13167.0,13090.0,1684240200000000,,3.0
"POINT (11.541806 48.1508898)",NYMC,13079.0,13176.0,1686037200000000,Co-Location mit AQ,72.0
"POINT (11.55058 48.149137)",LORC,13083.0,13138.0,1686034800000000,Co-Location AQ,34.0
"POINT (11.5596133 48.1473452)",STIC,13093.0,13140.0,1686042000000000,Co-Location AQ,
"POINT (11.5754682 48.1458622)",OVMC,13113.0,13094.0,1686045600000000,Co-Location AQ,
"POINT (11.5578029 48.1505754)",DACC,13127.0,13119.0,1686039300000000,Co-Location AQ,
"POINT (11.5714243 48.1490613)",TERC,13162.0,13142.0,1689160200000000,CoLocation AQ,21.0
"POINT (11.5687179 48.1440705)",BARC,13102.0,13175.0,1689156600000000,CoLocation AQ,12.0
"POINT (11.5634995 48.1463866)",KOEC,13088.0,13144.0,1689152400000000,CoLocation AQ,46.0
