time;Summe
20160101:0010;0
20160101:0110;0
20160101:0210;0
20160101:0310;0
20160101:0410;0
20160101:0510;0
20160101:0610;0
20160101:0710;0
20160101:0810;0
20160101:0910;1.99
20160101:1010;20
20160101:1110;30
20160101:1210;378.02
20160101:1310;356.02
20160101:1410;256.01
20160101:1510;42
20160101:1610;0
20160101:1710;0
20160101:1810;0
20160101:1910;0
20160101:2010;0
20160101:2110;0
20160101:2210;0
20160101:2310;0
20160102:0010;0
20160102:0110;0
20160102:0210;0
20160102:0310;0
20160102:0410;0
20160102:0510;0
20160102:0610;0
20160102:0710;0
20160102:0810;0
20160102:0910;1.99
20160102:1010;50.95
20160102:1110;0
20160102:1210;0
20160102:1310;0
20160102:1410;2
20160102:1510;18
20160102:1610;0
20160102:1710;0
20160102:1810;0
20160102:1910;0
20160102:2010;0
20160102:2110;0
20160102:2210;0
20160102:2310;0
20160103:0010;0
20160103:0110;0
20160103:0210;0
20160103:0310;0
20160103:0410;0
20160103:0510;0
20160103:0610;0
20160103:0710;0
20160103:0810;0
20160103:0910;0
20160103:1010;8
20160103:1110;14
20160103:1210;32
20160103:1310;138
20160103:1410;94
20160103:1510;64
20160103:1610;5.87
20160103:1710;0
20160103:1810;0
20160103:1910;0
20160103:2010;0
20160103:2110;0
20160103:2210;0
20160103:2310;0
